,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
60,0197030,1,FRANKLIN SQUARE,1416 W BALTIMORE ST
61,0197026,1,FRANKLIN SQUARE,1430 W BALTIMORE ST
62,4071035,1,BETTER WAVERLY,2706 MATHEWS ST
63,0277054,1,NEW SOUTHWEST/MOUNT CLARE,1625 MCHENRY ST
64,0235031,1,HOLLINS MARKET,49 S ARLINGTON AVE
65,0149066,1,FRANKLIN SQUARE,323 N FULTON AVE
66,8219006,1,WEST ARLINGTON,4410 BELVIEU AVE
67,8358001,1,CENTRAL FOREST PARK,4101 SPRINGDALE AVE
68,0197028,1,FRANKLIN SQUARE,1424 W BALTIMORE ST
69,0197027,1,FRANKLIN SQUARE,1428 W BALTIMORE ST
70,0197029,1,FRANKLIN SQUARE,1420 W BALTIMORE ST
71,2350066,1,BRIDGEVIEW/GREENLAWN,2328 CALVERTON HEIGHTS AVE
72,0719B011,1,CARROLLTON RIDGE,620 S MONROE ST
73,0107067,1,MIDTOWN-EDMONDSON,1916 EDMONDSON AVE
74,7470S062,1,LAKELAND,2821 EASTSHIRE DR
75,1653034,1,MIDDLE EAST,2251 MCELDERRY ST
76,8472010,1,WINDSOR HILLS,4509 FAIRFAX ROAD
77,2901016,1,FOREST PARK,3716 SPRINGDALE AVE
78,2948011,1,CALLAWAY-GARRISON,3812 BELLE AVE
79,2949029,1,CALLAWAY-GARRISON,3801 W COLD SPRING LANE
80,4616090,1,CENTRAL PARK HEIGHTS,2915 OAKLEY AVE
81,1686021,1,MIDDLE EAST,216 N CHESTER ST
82,0388018,1,CHARLES NORTH,27 W NORTH AVE
83,3405024,1,PENN NORTH,1618 W NORTH AVE
84,0851070,1,WASHINGTON VILLAGE,503 WYETH ST
85,0922037,1,WASHINGTON VILLAGE,751 W HAMBURG ST
86,2377A079,1,MOSHER,2751 RAYNER AVE
87,2424B036,1,ROSEMONT,1635 N ROSEDALE ST
88,4616074,1,CENTRAL PARK HEIGHTS,3015 OAKLEY AVE
89,5121001,1,LAKE WALKER,6213 YORK ROAD
90,2140002,1,MILLHILL,2613 FREDERICK AVE
91,0110048,1,HARLEM PARK,1616 EDMONDSON AVE
92,1610023,1,MADISON-EASTEND,845 N LUZERNE AV
93,3327F080,1,PARK CIRCLE,3619 COTTAGE AVE
94,4614004,1,CENTRAL PARK HEIGHTS,2922 OAKLEY AVE
95,4123032,1,COLDSTREAM HOMESTEAD MONTEBELL,2622 HARFORD ROAD
96,4613010,1,CENTRAL PARK HEIGHTS,3033 W GARRISON AVE
97,4526A008,1,ARLINGTON,5412 DENMORE AVE
98,4613011,1,CENTRAL PARK HEIGHTS,3031 W GARRISON AV
99,3975001,1,PEN LUCY,800 CATOR AVE
100,2736005,1,CENTRAL FOREST PARK,4001 MAINE AVE
101,5349001,1,LAURAVILLE,2300 E COLD SPRING LANE
102,6042N003,1,FRANKFORD,4810 FRANKFORD AVE
103,4178E061,1,BELAIR-EDISON,3208 ELMLEY AVE
104,1691098,1,MCELDERRY PARK,225 N ROSE ST
105,4070A021,1,BETTER WAVERLY,2637 GREENMOUNT AVE
106,5214022,1,WILSON PARK,4727 OLD YORK ROAD
107,4062010,1,BETTER WAVERLY,2541 GREENMOUNT AVE
108,2847019,1,GARWYN OAKS,2901 CHELSEA TERR
109,1538015,1,BEREA,1217 N MILTON AV
110,3065014,1,HANLON-LONGWOOD,3400 ALTO ROAD
111,1569004,1,MIDDLE EAST,2107 E CHASE ST
112,1569003,1,MIDDLE EAST,2105 E CHASE ST
113,3418A034,1,RESERVOIR HILL,2509 MCCULLOH ST
114,5853002,1,WALTHERSON,4027 RIDGECROFT ROAD
115,4053036,1,WAVERLY,726 E 33RD ST
116,3836A026,1,HARWOOD,400 E LORRAINE AVE
117,3639023,1,REMINGTON,319 W 27TH ST
118,1138055,1,OLIVER,1406 N BROADWAY
119,1138052,1,OLIVER,1412 N BROADWAY
120,1606064,1,MIDDLE EAST,2212 E MADISON ST
121,1127041,1,OLIVER,1536 N BROADWAY
122,3061B001,1,HANLON-LONGWOOD,3200 PIEDMONT AVE
123,2838014,1,GARWYN OAKS,2712 ELSINORE AVE
124,3238009,1,PARKVIEW/WOODBROOK,3502 WOODBROOK AVE
125,3238008,1,PARKVIEW/WOODBROOK,3500 WOODBROOK AVE
126,3238010,1,PARKVIEW/WOODBROOK,3504 WOODBROOK AVE
127,3237001,1,PARKVIEW/WOODBROOK,3501 WOODBROOK AVE
128,2110008,1,MILLHILL,2543 ASHTON ST
129,2475H027,1,FRANKLINTOWN ROAD,1002 N FRANKLINTOWN ROAD
130,2475H029,1,FRANKLINTOWN ROAD,1006 N FRANKLINTOWN ROAD
131,0116057,1,HARLEM PARK,908 EDMONDSON AVE
132,2145A035,1,MILLHILL,301 MILLINGTON AVE
133,7470J005,1,LAKELAND,2631 HOLLINS FERRY ROAD
134,4013A036,1,EAST BALTIMORE MIDWAY,2023 CECIL AV
135,4022022,1,EAST BALTIMORE MIDWAY,2143 HOMEWOOD AV
136,4022020,1,EAST BALTIMORE MIDWAY,2139 HOMEWOOD AV
137,4013A001,1,EAST BALTIMORE MIDWAY,1000 E 20TH ST
138,4003036,1,EAST BALTIMORE MIDWAY,1915 OAK HILL AV
139,4046008,1,BETTER WAVERLY,716 GORSUCH AVE
140,3824031,1,BARCLAY,446 E 23RD ST
141,1590063,1,MILTON-MONTFORD,2312 ASHLAND AV
142,3828049,1,BARCLAY,2416 GUILFORD AVE
143,4070A069,1,BETTER WAVERLY,2619 BOONE ST
144,1710041,1,BALTIMORE-LINWOOD,154 N LAKEWOOD AVE
145,1608022,1,MILTON-MONTFORD,843 N MONTFORD AV
146,3335059,1,PARK CIRCLE,2610 VIOLET AVE
147,6558019,1,GREEKTOWN,636 OLDHAM ST
148,0199001,1,POPPLETON,1 N CAREY ST
149,3972002,1,WAVERLY,3803 OLD YORK ROAD
150,5053015,1,KERNEWOOD,4628 YORK ROAD
151,6287056,1,BALTIMORE HIGHLANDS,3717 MOUNT PLEASANT AVE
152,2730010,1,DORCHESTER,4018 LIBERTY HEIGHTS AVE
153,3903A040,1,WAVERLY,503 E 39TH ST
154,2742A007,1,CONCERNED CITIZENS OF FOREST P,3913 NORFOLK AVE
155,3350E032,1,PARKLANE,3007 WYLIE AVE
156,4018018,1,EAST BALTIMORE MIDWAY,2000 BOONE ST
157,1500002,1,BROADWAY EAST,1414 N COLLINGTON AV
158,5165C045,1,WOODBOURNE-MCCABE,5201 CRAIG AVE
159,4198B010,1,ARCADIA,3029 WEAVER AVE
160,4804A010,1,CYLBURN,3018 VIRGINIA AVE
161,4552128,1,ARLINGTON,5215 ELMER AVE
162,3834019C,1,HARWOOD,2522 BARCLAY ST
163,5190010,1,WILSON PARK,4415 SAINT GEORGES AVE
164,3875024,1,ABELL,302 E 31ST ST
165,2748002,1,WEST FOREST PARK,3102 OAKFIELD AVE
166,4114F013,1,COLDSTREAM HOMESTEAD MONTEBELL,2535 GARRETT AVE
167,4114F045,1,COLDSTREAM HOMESTEAD MONTEBELL,2548 ROBB ST
168,4114I022,1,COLDSTREAM HOMESTEAD MONTEBELL,2552 GARRETT AVE
169,4114I024,1,COLDSTREAM HOMESTEAD MONTEBELL,2556 GARRETT AVE
170,7077025,1,BROOKLYN,600 E PATAPSCO AVE
171,0277002,1,NEW SOUTHWEST/MOUNT CLARE,302 S GILMOR ST
172,0153046,1,FRANKLIN SQUARE,1304 W SARATOGA ST
173,7644068,1,CHERRY HILL,2881 BOOKERT DR
174,4114H044,1,COLDSTREAM HOMESTEAD MONTEBELL,2612 CECIL AVE
175,4114G005,1,COLDSTREAM HOMESTEAD MONTEBELL,2609 CECIL AVE
176,4114B001,1,COLDSTREAM HOMESTEAD MONTEBELL,2601 ROBB ST
177,3814019,1,BARCLAY,415 E 22ND ST
178,4198B011,1,ARCADIA,3031 WEAVER AVE
179,7077026,1,BROOKLYN,606 E PATAPSCO AVE
180,1714164,1,ELLWOOD PARK/MONUMENT,3022 E FAYETTE ST
181,1677070,1,ELLWOOD PARK/MONUMENT,413 N CURLEY ST
182,1569010,1,MIDDLE EAST,2119 E CHASE ST
183,4613001A,1,CENTRAL PARK HEIGHTS,3002 OAKLEY AV
184,6288047,1,BALTIMORE HIGHLANDS,3437 E LOMBARD ST
185,3942021,1,COLDSTREAM HOMESTEAD MONTEBELL,2942 HARFORD ROAD
186,2951C004,1,,3734 DOLFIELD AV
187,0719B024,1,CARROLLTON RIDGE,611 S PAYSON ST
188,7470A030,1,LAKELAND,2828 GANLEY DR
189,1466020,1,BROADWAY EAST,1639 N BROADWAY
190,1138048,1,OLIVER,1420 N BROADWAY
191,1678012,1,ELLWOOD PARK/MONUMENT,319 N ROBINSON ST
192,1623038,1,MILTON-MONTFORD,723 N PATTERSON PK AV
193,1623040,1,MILTON-MONTFORD,719 N PATTERSON PK AV
194,5180A034C,1,WINSTON-GOVANS,5018 READY AVE
195,0209024,1,FRANKLIN SQUARE,1726 FREDERICK AVE
196,0209025,1,FRANKLIN SQUARE,1724 FREDERICK AVE
197,7118018,1,BROOKLYN,912 STOLL ST
198,0327047,1,UPTON,1817 PENNSYLVANIA AVE
199,4123A009,1,COLDSTREAM HOMESTEAD MONTEBELL,2548 HARFORD ROAD
200,0014004,1,SANDTOWN-WINCHESTER,1606 N FULTON AVE
201,0214002,1,FRANKLIN SQUARE,1403 W BALTIMORE ST
202,0214001,1,FRANKLIN SQUARE,1401 W BALTIMORE ST
203,6288018,1,BALTIMORE HIGHLANDS,3434 MOUNT PLEASANT AVE
204,8318001,1,HOWARD PARK,5100 GWYNN OAK AVE
205,4218020,1,FALLSTAFF,7120 PARK HEIGHTS AVE
206,3240003,1,PARKVIEW/WOODBROOK,1704 GWYNNS FALLS PKWY
207,1676066,1,MCELDERRY PARK,2804 ORLEANS ST
208,1676067,1,MCELDERRY PARK,2802 ORLEANS ST
209,5165B005,1,WOODBOURNE-MCCABE,608 MCCABE AVE
210,1118045,1,OLIVER,1628 N BROADWAY
211,5165080,1,WINSTON-GOVANS,617 MCCABE AVE
212,3032032,1,WALBROOK,2902 POPLAR TERR
213,5165C002,1,WOODBOURNE-MCCABE,702 MCCABE AVE
214,4544B021,1,ARLINGTON,5222 CUTHBERT AVE
215,4096007,1,BETTER WAVERLY,922 HOMESTEAD ST
216,4511A007,1,ARLINGTON,5354 CUTHBERT AVE
217,3172053,1,PARK CIRCLE,2800 ULMAN AV
218,3061B091,1,HANLON-LONGWOOD,2501 N ELLAMONT ST
219,2902003C,1,FOREST PARK,3623 LIBERTY HEIGHTS AVE
220,2960073,1,DOLFIELD,3920 RIDGEWOOD AVE
221,2289013,1,ALLENDALE,325 ALLENDALE ST
222,2362055,1,EVERGREEN LAWN,2505 HARLEM AVE
223,7841A046,1,MORRELL PARK,2008 GRIFFIS AVE
224,2285004,1,ALLENDALE,3507 W FRANKLIN ST
225,7779003,1,MORRELL PARK,2530 WASHINGTON BLVD
226,2503048,1,EDMONDSON VILLAGE,715 LINNARD ST
227,2275A066,1,ALLENDALE,145 N MONASTERY AVE
228,2275A059,1,ALLENDALE,159 N MONASTERY AVE
229,2544001,1,IRVINGTON,200 S AUGUSTA AVE
230,2537036,1,IRVINGTON,314 S COLLINS AVE
231,2292A030,1,ALLENDALE,3704 W FRANKLIN ST
232,2247006,1,IRVINGTON,249 S LOUDON AVE
233,2535002,1,IRVINGTON,4209 FREDERICK AVE
234,2275A001,1,ALLENDALE,246 N HILTON ST
235,8139L012,1,BEECHFIELD,423 RANDOM ROAD
236,8139005,1,BEECHFIELD,4709 FREDERICK AVE
237,3239007,1,PARKVIEW/WOODBROOK,1632 GWYNNS FALLS PKWY
238,3235030,1,PARKVIEW/WOODBROOK,1635 GWYNNS FALLS PKWY
239,3240001,1,PARKVIEW/WOODBROOK,1700 GWYNNS FALLS PKWY
240,4114F024,1,COLDSTREAM HOMESTEAD MONTEBELL,2557 GARRETT AVE
241,0801044,1,WASHINGTON VILLAGE,1165 NANTICOKE ST
242,0801043,1,WASHINGTON VILLAGE,1167 NANTICOKE ST
243,0801046,1,WASHINGTON VILLAGE,1161 NANTICOKE ST
244,4983G007,1,HOMELAND,5425 SPRINGLAKE WAY
245,2717003,1,DORCHESTER,4004 BOARMAN AVE
246,5165C040,1,WOODBOURNE-MCCABE,5211 CRAIG AVE
247,5165B034,1,WOODBOURNE-MCCABE,5213 READY AVE
248,2717A003,1,DORCHESTER,4014 W COLD SPRING LANE
249,5898H055,1,ARCADIA,4013 EIERMAN AVE
250,2717007,1,DORCHESTER,4012 BOARMAN AVE
251,1570063,1,MIDDLE EAST,2234 PRENTISS PL
252,1570058,1,MIDDLE EAST,2224 PRENTISS PL
253,1610029C,1,MADISON-EASTEND,2629 ASHLAND AV
254,1570047,1,MIDDLE EAST,2202 PRENTISS PL
255,1570059,1,MIDDLE EAST,2226 PRENTISS PL
256,1553093,1,MIDDLE EAST,2208 HENNEMAN AV
257,1553096,1,MIDDLE EAST,2214 HENNEMAN AV
258,1553100,1,MIDDLE EAST,2222 HENNEMAN AV
259,1570052,1,MIDDLE EAST,2212 PRENTISS PL
260,1570084,1,MIDDLE EAST,2231 PRENTISS PL
261,3024034,1,PANWAY/BRADDISH AVENUE,2848 CLIFTON AVE
262,2336003,1,BRIDGEVIEW/GREENLAWN,1204 N BENTALOU ST
263,3023046,1,WALBROOK,2924 CLIFTON AVE
264,3085A015,1,PANWAY/BRADDISH AVENUE,2129 N DUKELAND ST
265,4511B020,1,ARLINGTON,5310 CORDELIA AVE
266,2364A037,1,EVERGREEN LAWN,2524 W LANVALE ST
267,1608029,1,MILTON-MONTFORD,2409 ASHLAND AV
268,1656049,1,MCELDERRY PARK,2514 JEFFERSON ST
269,1543017,1,BEREA,1233 N POTOMAC ST
270,1690034,1,PATTERSON PLACE,2419 ORLEANS ST
271,1742013,1,BALTIMORE-LINWOOD,25 S POTOMAC ST
272,5173A010,1,WINSTON-GOVANS,5108 IVANHOE AVE
273,1651032,1,MIDDLE EAST,520 N CHESTER ST
274,1124023,1,OLIVER,1309 E FEDERAL ST
275,1162009,1,OLIVER,1219 N EDEN ST
276,4429019,1,ARLINGTON,3604 W ROGERS AV
277,7225006,1,CURTIS BAY,1630 HAZEL ST
278,7225019,1,CURTIS BAY,1604 HAZEL ST
279,7225010,1,CURTIS BAY,1622 HAZEL ST
280,7225008,1,CURTIS BAY,1626 HAZEL ST
281,7225012,1,CURTIS BAY,1618 HAZEL ST
282,7225004,1,CURTIS BAY,1634 HAZEL ST
283,7225007,1,CURTIS BAY,1628 HAZEL ST
284,7225015,1,CURTIS BAY,1612 HAZEL ST
285,1621076,1,MIDDLE EAST,711 N DUNCAN ST
286,1651033,1,MIDDLE EAST,518 N CHESTER ST
287,1621074,1,MIDDLE EAST,715 N DUNCAN ST
288,1621075,1,MIDDLE EAST,713 N DUNCAN ST
289,3814010,1,BARCLAY,2119 BARCLAY ST
290,4613012,1,CENTRAL PARK HEIGHTS,3029 W GARRISON AV
291,3235031,1,PARKVIEW/WOODBROOK,1637 GWYNNS FALLS PKWY
292,0452028,1,UPTON,827 HARLEM AVE
293,0430037,1,UPTON,832 HARLEM AVE
294,0452032,1,UPTON,835 HARLEM AVE
295,4585002,1,CENTRAL PARK HEIGHTS,3102 W GARRISON AV
296,7841H019,1,MORRELL PARK,2036 GRINNALDS AVE
297,2402016,1,COPPIN HEIGHTS/ASH-CO-EAST,2755 W NORTH AVE
298,2401A014,1,COPPIN HEIGHTS/ASH-CO-EAST,2727 W NORTH AVE
299,3006018,1,WALBROOK,2798 W NORTH AVE
300,5126022,1,LAKE WALKER,723 HOLLEN ROAD
301,2402015,1,COPPIN HEIGHTS/ASH-CO-EAST,2757 W NORTH AVE
302,2401A015,1,COPPIN HEIGHTS/ASH-CO-EAST,2729 W NORTH AVE
303,2505003,1,EDMONDSON VILLAGE,704 N GRANTLEY ST
304,6156021,1,ELLWOOD PARK/MONUMENT,510 N BOULDIN ST
305,1607085,1,MILTON-MONTFORD,819 N BRADFORD ST
306,6154011,1,ELLWOOD PARK/MONUMENT,604 N HIGHLAND AV
307,1156050,1,JOHNSTON SQUARE,801 E PRESTON ST
308,6156033,1,ELLWOOD PARK/MONUMENT,513 N EAST AV
309,1647028,1,ELLWOOD PARK/MONUMENT,620 N ROBINSON ST
310,1647001L,1,ELLWOOD PARK/MONUMENT,625 N ELLWOOD AV
311,4017038,1,EAST BALTIMORE MIDWAY,709 E 21ST ST
312,6158A036,1,ELLWOOD PARK/MONUMENT,530 N HIGHLAND AV
313,2401A016,1,COPPIN HEIGHTS/ASH-CO-EAST,2731 W NORTH AVE
314,2401A011,1,COPPIN HEIGHTS/ASH-CO-EAST,2721 W NORTH AVE
315,5214A006,1,RICHNOR SPRINGS,4743 OLD YORK ROAD
316,5183C006,1,KENILWORTH PARK,5017 MIDWOOD AVE
317,3836A082,1,HARWOOD,2607 BARCLAY ST
318,3942044,1,COLDSTREAM HOMESTEAD MONTEBELL,2835 HILLEN ROAD
319,7841A027,1,MORRELL PARK,2031 GRIFFIS AVE
320,3836B035,1,HARWOOD,2505 BARCLAY ST
321,2485046,1,EDMONDSON VILLAGE,607 N GRANTLEY ST
322,0152007,1,FRANKLIN SQUARE,313 N STRICKER ST
323,2402023,1,COPPIN HEIGHTS/ASH-CO-EAST,2741 W NORTH AVE
324,0234017,1,HOLLINS MARKET,1133 HOLLINS ST
325,1672072,1,MCELDERRY PARK,2400 ORLEANS ST
326,0074010,1,SANDTOWN-WINCHESTER,945 N MOUNT ST
327,0074012,1,SANDTOWN-WINCHESTER,949 N MOUNT ST
328,0108010,1,HARLEM PARK,618 N FULTON AVE
329,0122064,1,HARLEM PARK,1616 W FRANKLIN ST
330,2441015,1,ROSEMONT,1628 N ELLAMONT ST
331,1126059,1,OLIVER,1538 N BOND ST
332,4028A015,1,EAST BALTIMORE MIDWAY,2112 HARFORD RD
333,4028A011,1,EAST BALTIMORE MIDWAY,2104 HARFORD RD
334,4028A016,1,EAST BALTIMORE MIDWAY,2114 HARFORD RD
335,4028A013,1,EAST BALTIMORE MIDWAY,2108 HARFORD RD
336,1607007,1,MILTON-MONTFORD,813 N PATTERSON PK AV
337,0123042,1,HARLEM PARK,515 N GILMOR ST
338,0123016,1,HARLEM PARK,530 N STRICKER ST
339,0122017,1,HARLEM PARK,534 N GILMOR ST
340,0123037,1,HARLEM PARK,525 N GILMOR ST
341,0192078,1,PENROSE/FAYETTE STREET OUTREAC,1924 W FAIRMOUNT AV
342,8019013,1,TEN HILLS,410 OLD ORCHARD RD
343,0338035,1,UPTON,575 LAURENS ST
344,0110052,1,HARLEM PARK,1608 EDMONDSON AVE
345,3024012A,1,PANWAY/BRADDISH AVENUE,2817 WINDSOR AVE
346,4616083,1,CENTRAL PARK HEIGHTS,2929 OAKLEY AV
347,4616084,1,CENTRAL PARK HEIGHTS,2927 OAKLEY AV
348,4616082,1,CENTRAL PARK HEIGHTS,2931 OAKLEY AV
349,4616085,1,CENTRAL PARK HEIGHTS,2925 OAKLEY AV
350,4616086,1,CENTRAL PARK HEIGHTS,2923 OAKLEY AV
351,5197012A,1,WILSON PARK,549 OAKLAND AVE
352,5170005,1,KENILWORTH PARK,910 BEAUMONT AVE
353,1693017,1,MCELDERRY PARK,233 N LAKEWOOD AV
354,1553031,1,MIDDLE EAST,1108 N PATTERSON PK AV
355,1553034,1,MIDDLE EAST,1114 N PATTERSON PK AV
356,1606001,1,MIDDLE EAST,803 N COLLINGTON AV
357,4589035,1,CENTRAL PARK HEIGHTS,5132 PEMBRIDGE AV
358,3234015F,1,PARKVIEW/WOODBROOK,2313 BRYANT AVE
359,3243012,1,PARKVIEW/WOODBROOK,2213 WHITTIER AVE
360,3238005,1,PARKVIEW/WOODBROOK,2609 REISTERSTOWN ROAD
361,3844100,1,HARWOOD,343 E 28TH ST
362,3814061,1,BARCLAY,414 E 21ST ST
363,3824042,1,BARCLAY,424 E 23RD ST
364,3855014,1,ABELL,2952 GREENMOUNT AVE
365,3855017,1,ABELL,2958 GREENMOUNT AVE
366,2364001,1,BRIDGEVIEW/GREENLAWN,2501 W LAFAYETTE AVE
367,5183027,1,RICHNOR SPRINGS,728 E COLD SPRING LANE
368,5173070,1,WINSTON-GOVANS,527 CHATEAU AVE
369,3463E015E,1,RESERVOIR HILL,2514 BROOKFIELD AVE
370,5140A014,1,MID-GOVANS,5619 GOVANE AVE
371,7615017,1,CHERRY HILL,454 ROUNDVIEW ROAD
372,4179P083,1,BELAIR-EDISON,3740 ELMORA AVE
373,5212B044,1,RICHNOR SPRINGS,4738 OLD YORK ROAD
374,3511056,1,HAMPDEN,856 W 33RD ST
375,3232A016,1,PARKVIEW/WOODBROOK,2307 OREM AVE
376,2402056,1,COPPIN HEIGHTS/ASH-CO-EAST,1702 ASHBURTON ST
377,5215018,1,RICHNOR SPRINGS,610 RICHWOOD AVE
378,3406035,1,PENN NORTH,2452 WOODBROOK AVE
379,0018033,1,EASTERWOOD,1520 N PAYSON ST
380,2349004,1,EVERGREEN LAWN,2306 ARUNAH AVE
381,6166084,1,ELLWOOD PARK/MONUMENT,639 N HIGHLAND AV
382,2306A042,1,COPPIN HEIGHTS/ASH-CO-EAST,2410 PRESBURY ST
383,1125036,1,OLIVER,1431 E FEDERAL ST
384,1127049,1,OLIVER,1520 N BROADWAY
385,1127047,1,OLIVER,1524 N BROADWAY
386,1127048,1,OLIVER,1522 N BROADWAY
387,7225031,1,CURTIS BAY,1623 LOCUST ST
388,3024023,1,PANWAY/BRADDISH AVENUE,2826 CLIFTON AVE
389,3263020,1,BURLEITH-LEIGHTON,2601 LIBERTY HEIGHTS AVE
390,2520A003,1,EDMONDSON VILLAGE,905 N WOODINGTON ROAD
391,0298100,1,DRUID HEIGHTS,505 SANFORD PL
392,0298099,1,DRUID HEIGHTS,507 SANFORD PL
393,1494044,1,BROADWAY EAST,1751 E OLIVER ST
394,1494022,1,BROADWAY EAST,1707 E OLIVER ST
395,1494041,1,BROADWAY EAST,1745 E OLIVER ST
396,1494036,1,BROADWAY EAST,1735 E OLIVER ST
397,3262C005,1,BURLEITH-LEIGHTON,3108 TIOGA PKWY
398,2538029,1,IRVINGTON,4030 WALRAD ST
399,3238006,1,PARKVIEW/WOODBROOK,2611 REISTERSTOWN ROAD
400,5551001A,1,WOODRING,3003 WOODHOME AVE
401,5804102,1,WALTHERSON,5006 ROSS ROAD
402,5930062,1,BELAIR-EDISON,4248 SHELDON AVE
403,5695015,1,GLENHAM-BELFORD,4122 WHITE AVE
404,5923044,1,BELAIR-EDISON,3338 BRENDAN AVE
405,5919049,1,BELAIR-EDISON,3318 DUDLEY AVE
406,3941B056,1,COLDSTREAM HOMESTEAD MONTEBELL,2035 E 32ND ST
407,3457039,1,RESERVOIR HILL,2412 CALLOW AVE
408,4188B036,1,BELAIR-EDISON,3129 CLIFTMONT AVE
409,3806047,1,BARCLAY,335 E 21ST ST
410,3836A012,1,HARWOOD,439 E 27TH ST
411,5915005,1,BELAIR-EDISON,3109 CHESTERFIELD AVE
412,4092004A,1,BETTER WAVERLY,910 E 30TH ST
413,5898H003J,1,ARCADIA,4408 BELAIR ROAD
414,4188B025,1,BELAIR-EDISON,3107 CLIFTMONT AVE
415,4188B060,1,BELAIR-EDISON,3130 CLIFTMONT AVE
416,2350034,1,BRIDGEVIEW/GREENLAWN,834 N BENTALOU ST
417,4019031,1,EAST BALTIMORE MIDWAY,511 E 22ND ST
418,3006016,1,WALBROOK,2796 W NORTH AVE
419,6072A026,1,CEDONIA,5412 CEDONIA AVE
420,2544010,1,IRVINGTON,4209 (Descriptive Address)
421,0390015,1,GREENMOUNT WEST,131 E NORTH AVE
422,5788012,1,WALTHERSON,3501 FRANKFORD AVE
